Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
1. What is 25% of 80?,15,20,25,30,20
"2. If a shirt originally costs $40 and is on sale for 25% off, what is the sale price?",$10,$20,$30,$35,$30
"3. If x = 4 and y = 7, what is the value of x² + 3y?",31,37,46,49,49
4. Simplify: (3 + 5) * 2 - 4 ÷ 2,10,12,14,16,12
"5. Find the next number in the sequence: 2, 5, 10, 17, ___",24,25,26,27,26
"6. If a car travels at a speed of 60 miles per hour, how far will it travel in 2.5 hours?",120 miles,140 miles,150 miles,160 miles,150 miles
"7. If the price of a book is reduced by 20% and now costs $12, what was its original price?",$10,$12,$14,$15,$15
8. Solve for x: 3x - 7 = 17,4,6,8,10,8
9. What is the area of a rectangle with length 8 cm and width 5 cm?,30 cm²,36 cm²,40 cm²,45 cm²,40 cm²
"10. If 15% of a number is 45, what is the number?",150,200,250,300,300
"11. A pizza costs $12. If it is divided equally among 4 friends, how much does each friend pay?",$2.50,$3.00,$3.50,$4.00,$3.00
12. What is 40% of 1500?,500,600,700,800,600
"13. If the ratio of boys to girls in a class is 3:2, and there are 15 girls, how many boys are there?",18,20,22,24,18
14. Solve for x: 2x + 5 = 15,5,6,7,8,5
"15. If a phone originally costs $500 and is now 20% off, what is the sale price?",$400,$420,$450,$480,$400
16. What is 3/4 as a decimal?,0.25,0.5,0.75,1,0.75
"17. If the sum of two consecutive even numbers is 42, what are the numbers?",20 and 22,22 and 24,24 and 26,26 and 28,20 and 22
"18. If a coffee shop sells 50 cups of coffee for $2 each, how much money do they make?",$75,$100,$125,$150,$100
19. Find the square root of 144.,10,12,14,16,12
"20. If a train travels at a speed of 80 km/h for 2.5 hours, how far will it travel?",180 km,200 km,250 km,300 km,200 km
21. A store is offering a 15% discount on a $60 jacket. What is the discounted price?,$45,$50,$55,$60,$51
"22. If 3x + 7 = 22, what is the value of x?",5,6,7,8,5
23. What is 25% of 2000?,250,400,500,600,500
"24. If a bag contains 12 red balls, 8 blue balls, and 5 green balls, what is the probability of drawing a red ball?",03-Aug,01-Mar,01-Apr,01-Feb,03-Aug
"25. If a rectangle has a length of 10 cm and a diagonal of 13 cm, what is its width?",6 cm,7 cm,8 cm,9 cm,9 cm
26. Solve for x: 2(x + 3) = 16,4,5,6,7,5
27. What is 20% of 75?,10,15,20,25,15
"28. If a box contains 36 chocolates and 12 of them are dark chocolate, what percentage of the chocolates are dark?",33.33%,25%,20%,50%,33.33%
"29. If the circumference of a circle is 36π cm, what is its radius?",6 cm,9 cm,12 cm,18 cm,6 cm
"30. If a book costs $24 and is on sale for 30% off, what is the sale price?",$16.80,$18.00,$20.40,$21.60,$16.80
